START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Driver_Rating,Passenger_Rating,Ride_Distance_km,Ride_Duration_min,Surge_Pricing_Multiplier,Weather_Condition,Traffic_Level,Payment_Method,Promo_Code_Used,Cancellation_Status,Pickup_Area_Type,Drop_Area_Type,Vehicle_Type,Driver_Experience_Years,Customer_Support_Calls,Base_Fare,Cost_Per_Km,Estimated_Fare,Total_Fare,Fare_Per_Minute,Hour,Peak_Hour,Day_of_Week,Weekend_Ride,Long_Ride_Flag,High_Traffic_Flag,High_Rated_Driver,Discount_Amount,Final_Payable_Amount,
1/13/2016 15:28,1/13/2016 15:28,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,4.1,3.3,15.31,97,2.68,Clear,Low,Card,No,Cancelled by Driver,Suburban,Rural,Sedan,8,2,50,12,233.72,626.3696,2.409484536,21,No,Friday,No,Yes,No,No,0,626.3696,
1/13/2016 15:28,1/13/2016 15:28,Business,Fort Pierce,Fort Pierce,5,Meal/Entertain,4.9,4.8,21.37,50,1.25,Rainy,Medium,Card,Yes,Cancelled by Driver,Urban,Urban,Mini,1,2,50,12,306.44,383.05,6.1288,1,No,Saturday,Yes,Yes,No,Yes,30.644,352.406,
1/13/2016 15:28,1/13/2016 15:28,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,4.6,4.7,29.79,18,2.6,Rainy,Medium,Card,Yes,Completed,Urban,Rural,Sedan,13,0,50,12,407.48,1059.448,22.63777778,20,Yes,Saturday,Yes,Yes,No,Yes,40.748,1018.7,
1/13/2016 15:28,1/13/2016 15:28,Business,Fort Pierce,Fort Pierce,4.7,Meeting,4.4,3.1,4.81,54,2.73,Rainy,Low,Cash,No,Cancelled by Driver,Suburban,Rural,Mini,2,0,50,12,107.72,294.0756,1.994814815,17,Yes,Tuesday,No,No,No,No,0,294.0756,
1/13/2016 15:28,1/13/2016 15:28,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,3.7,4.7,8.97,24,1.3,Stormy,High,Wallet,Yes,Completed,Suburban,Urban,Mini,8,4,50,12,157.64,204.932,6.568333333,14,No,Wednesday,No,No,Yes,No,15.764,189.168,
1/13/2016 15:28,1/13/2016 15:28,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,3.7,3.3,12.44,54,2.7,Stormy,Low,Cash,Yes,Completed,Rural,Urban,SUV,12,0,50,12,199.28,538.056,3.69037037,17,Yes,Wednesday,No,No,No,No,19.928,518.128,
1/13/2016 15:28,1/13/2016 15:28,Business,West Palm Beach,Palm Beach,7.1,Meeting,3.6,3.7,13.23,116,2.98,Stormy,High,Cash,Yes,Completed,Rural,Urban,Sedan,6,1,50,12,208.76,622.1048,1.799655172,17,Yes,Wednesday,No,No,Yes,No,20.876,601.2288,
1/13/2016 15:28,1/13/2016 15:28,Business,Cary,Cary,0.8,Meeting,4.8,4.5,12.92,37,2.45,Stormy,Low,UPI,No,Cancelled by Driver,Suburban,Urban,SUV,12,1,50,12,205.04,502.348,5.541621622,13,No,Thursday,No,No,No,Yes,0,502.348,
1/13/2016 15:28,1/13/2016 15:28,Business,Cary,Morrisville,8.3,Meeting,4.4,3.3,27.32,63,2.57,Foggy,High,Card,Yes,Cancelled by Passenger,Rural,Urban,SUV,10,1,50,12,377.84,971.0488,5.997460317,8,Yes,Sunday,Yes,Yes,Yes,No,37.784,933.2648,
1/13/2016 15:28,1/13/2016 15:28,Business,Jamaica,New York,16.5,Customer Visit,4.6,4.6,21.71,47,2.99,Clear,Low,Wallet,Yes,Cancelled by Passenger,Suburban,Urban,SUV,2,1,50,12,310.52,928.4548,6.606808511,12,No,Sunday,Yes,Yes,No,Yes,31.052,897.4028,
